cl,vf,r,x,y,z,vx,vy,vz,p,xx,xy,xz,yy,yz,zz
0,1.000771581568238533,0.62051000021649038718,1.0005394334941766221,0.72306220636166274041,0.58239764246391756419,-0.024037719633226369703,-0.019121219269080509673,-0.00042540894648655758984,-0.054841747310011026983,1.3151096483026065709,0.72672134611677352556,0.60095927711101682078,0.55327386792962107709,0.39721201405896128245,0.48941383232602370112
1,1.275945765314142951e-06,0.006728442342451158853,1.5281177010036408603,0.60986705180609668275,1.6510521873390657799,0.14990624623588241771,-0.013361903698645503924,-0.010231116998383492367,0.0022685681499751602155,2.3351554826059892633,0.93194910815850995345,2.5230021311359669411,0.37194881198070561812,1.0069222429746818026,2.7259848113035913819
2,1.7198591290591793465e-06,0.0074324972221583070903,1.0459343311535784782,0.38009183224749931718,0.74996283022931398143,-0.0019861588578694356656,-0.001268436019077795289,0.019540594548480390985,0.031853296147862704413,1.0939925187176136046,0.39755067444985453529,0.784411948578529028,0.14448354009101047057,0.2850548497540895676,0.56245717273737683151
3,2.941267130871769371e-06,0.0088882300512655842278,1.0761085893006865355,0.30701128066853239362,0.79940867917066504855,-0.031081212175413642368,-0.030656595827597190457,0.0099547610598692496536,0.051497157543105014088,1.158027638260125558,0.33037896749524459095,0.86024995820767302668,0.094274278811337583472,0.24542810295646175223,0.63907219013392657647
4,2.6476168305057707073e-06,0.0085820065426527418484,1.3252006338530868401,0.27946170164797090596,0.13527464019163429332,0.94505709620817890393,-0.3947214389700632875,-0.033006699697959544781,0.044817271845694159338,1.7561761992730704485,0.37034432387302679279,0.17926600202164888476,0.078114828531353222574,0.037806187184820233549,0.018315755460639709939
5,2.1704210759064615307e-06,0.0080319031474016030353,1.6191643443296743765,0.51396671486295408826,1.4513254744980292887,0.22649137996960569397,0.030891397759430068437,0.063558713980242653729,0.011645079965169394948,2.6217082932677793217,0.83219646642574385265,2.3499327423060614173,0.26417682346196119658,0.74593288755536546475,2.106361312166705968
6,3.353857014992686944e-06,0.0092857854438499753957,1.1460770260949368904,0.31174290329809734024,0.2081559717362497508,0.029724021387984564391,-0.02666587954367226343,0.022147318905355730528,0.030390676211103976462,1.3135115715156335803,0.35728203224646332137,0.23856262214603776717,0.097205078949179193892,0.064892039771239778956,0.043348459773357904401
7,2.5188454769864288747e-06,0.0084405543780776016299,1.6732295507922578803,0.61572330855160073426,1.0706607643432972665,0.43007217488115528914,0.019218687759911912832,-0.0035948047177212600831,-0.0041555093383295370682,2.7997135925093750153,1.0302466399649565787,1.7914614331447316076,0.37913140540368095444,0.65923031218063221637,1.1463313459249704351
8,2.1825746376685905024e-06,0.0080468671547301966196,1.7204860542842923543,0.58407461617422273825,1.2033173550250479966,0.46220349989526104961,-0.025877315480816960591,-0.023918658478978910981,0.0030730480910936847777,2.9600885853692870953,1.0048920536714314178,2.070291119501628252,0.34115952608727767581,0.70282917628776908625,1.4479868115651310934
9,6.5250125942208849576e-06,0.01159215683688549596,1.7278879804190090397,0.59190740602200608844,1.3911118658710766027,0.36901759922835158934,-0.029602196361834073879,-0.0018314589466408414536,-0.020975185337517968792,2.9856275722964755737,1.0227440109592258466,2.403686259645472667,0.35038409368735734528,0.82340968623091326251,1.9352205680299079393
10,2.2025578839155067674e-06,0.0080713511207351120585,1.2621969737362579433,0.24636420715946000248,1.143944174581778217,0.33451062567998518515,-0.18065442134146006414,-0.082024143352413425578,0.046976322626654000436,1.5931588348042291514,0.31096038008108900508,1.4438799913554911658,0.060707426798598806972,0.28182431603070318138,1.3086274068706158502
11,3.9242453192488399804e-07,0.0045417425577026458716,1.8170948113821290271,0.5255237185923882226,1.3418778596241367485,0.33973887040289429962,0.028925790447349435108,0.052189187565018967108,0.059666747093552296999,3.3018404601690396483,0.95492688420132509908,2.4383196219727532039,0.2761818017355941457,0.70518856670114249408,1.8006427947226901765
12,1.2784123275793923946e-06,0.0067327751910153431705,1.2637301822306890031,0.2608554588136836605,0.60247731954899341744,0.23079615281011231498,-0.1201647436611589792,-0.2013585387528410986,0.029198842719090647296,1.5970264746135562905,0.32965079586084661267,0.76136843415366883825,0.068056702004373914594,0.15715989044134653918,0.3629898390312240597
13,8.9513687994735256906e-06,0.012880526449562647306,1.5765089549527100399,0.49213585779731838787,1.4436876854358344779,0.18126321521195309927,0.15295889694392689195,-0.017746246710175758721,-0.012195609010847020814,2.4854174680598979386,0.7758584842678607485,2.2759871751472324775,0.24223275415944209299,0.71048846488907302366,2.0842688032728688974
