t iter dt dta diff m1 m2 ekin c1x c1y c1z c2x c2y c2z vc1x vc1y vc1z vc2x vc2y vc2z v1x v1y v1z v2x v2y v2z meshposx meshvelx 
1e-06 3 0.04911696698139276 0.02455898349069638 1.064569514691367e-08 1.937892292518726 0 0.4844730731296846 3.141592653589814 3.141592653589815 0.02454369260617031 0 0 0 3141592.653589814 3141592.653589815 24543.69260617032 0 0 0 -1.790319805361468e-18 8.951599026807342e-19 0 0 0 0 0 0 
0.04911796698139276 6 0.04911699688930707 0.02455874096767496 1.014258809239502e-06 1.937892292518726 0 0.4844730731262741 3.141592653589814 3.141592653589815 0.02454369260617031 0 0 0 0 0 0 0 0 0 -4.475799513403671e-18 -1.521771834557248e-17 0 0 0 0 0 0 
0.09823496387069983 9 0.04911704018499621 0.02455866734261601 3.177365683356611e-07 1.937892292518726 0 0.4844723609749285 3.141592653589814 3.141592653589815 0.02454369260617031 0 0 0 0 0 0 0 0 0 -2.522381573773773e-14 1.879835795629542e-16 0 0 0 0 0 0 
0.147352004055696 12 0.04911708699894392 0.02455863638183 1.24959689992513e-07 1.937892292518726 0 0.4844713062595873 3.141592653589814 3.141592653589815 0.02454369260617031 0 0 0 0 0 0 0 0 0 -3.360877854614816e-14 9.103776210263067e-16 0 0 0 0 0 0 
0.19646909105464 15 0.04911713451848541 0.02455862255731254 8.22456135420245e-08 1.937892292518726 0 0.4844701469431602 3.141592653589814 3.141592653589815 0.02454369260617031 0 0 0 0 0 0 0 0 0 -3.62790405358448e-14 1.113578918934833e-15 0 0 0 0 0 0 
0.2455862255731254 18 0.04911718192767096 0.02455861729173303 7.404325192582168e-08 1.937892292518726 0 0.4844689545147876 3.141592653589814 3.141592653589815 0.02454369260617031 0 0 0 0 0 0 0 0 0 -3.713570856271026e-14 1.254119023655709e-15 0 0 0 0 0 0 
0.2947034075007963 21 0.0491172289089584 0.02455861688641105 7.311669432547299e-08 1.937892292518726 0 0.4844677499546701 3.141592653589814 3.141592653589815 0.02454369260617031 0 0 0 0 0 0 0 0 0 -3.750719992232276e-14 1.237110985504775e-15 0 0 0 0 0 0 
0.3438206364097547 24 0.04911727536668787 0.02455861948602766 7.308684407804597e-08 1.937892292518726 0 0.4844665414419414 3.141592653589814 3.141592653589815 0.02454369260617031 0 0 0 0 0 0 0 0 0 -3.757344175512114e-14 1.280973820736131e-15 0 0 0 0 0 0 
0.3929379117764426 27 0.04911732127609558 0.02455862405847434 7.308523582306923e-08 1.937892292518726 0 0.4844653316442099 3.141592653589814 3.141592653589815 0.02454369260617031 0 0 0 0 0 0 0 0 0 -3.761103847103372e-14 1.296191539081703e-15 0 0 0 0 0 0 
0.4420552330525382 30 0.04911736664747864 0.02455862998500084 7.299903374901065e-08 1.937892292518726 0 0.4844641214287268 3.141592653589814 3.141592653589815 0.02454369260617031 0 0 0 0 0 0 0 0 0 -3.756538531599701e-14 1.299772178692426e-15 0 0 0 0 0 0 
0.4911725997000168 33 0.04911741150554401 0.02455863687298004 7.285347442604036e-08 1.937892292518726 0 0.4844629110771044 3.141592653589814 3.141592653589815 0.02454369260617031 0 0 0 0 0 0 0 0 0 -3.761103847103372e-14 1.24337710482354e-15 0 0 0 0 0 0 
0.5402900112055609 36 0.04911745588531297 0.02455864446211975 7.268510999107163e-08 1.937892292518726 0 0.4844617006807961 3.141592653589814 3.141592653589815 0.02454369260617031 0 0 0 0 0 0 0 0 0 -3.757881271453722e-14 1.285449620249534e-15 0 0 0 0 0 0 
0.5894074670908739 39 0.04911749983054649 0.02455865257390078 7.25418987727521e-08 1.937892292518726 0 0.4844604902695284 3.141592653589814 3.141592653589815 0.02454369260617031 0 0 0 0 0 0 0 0 0 -3.759044979327207e-14 1.323941496064806e-15 0 0 0 0 0 0 
0.6385249669214204 42 0.04911754339037483 0.02455866108256411 7.246117606201775e-08 1.937892292518726 0 0.4844592798529849 3.141592653589814 3.141592653589815 0.02454369260617031 0 0 0 0 0 0 0 0 0 -3.756896595560773e-14 1.270231901903962e-15 0 0 0 0 0 0 
0.6876425103117951 45 0.04911758661732836 0.02455866989763745 7.248172884016906e-08 1.937892292518726 0 0.4844580694343203 3.141592653589814 3.141592653589815 0.02454369260617031 0 0 0 0 0 0 0 0 0 -3.758597399375866e-14 1.2684415820986e-15 0 0 0 0 0 0 
0.7367600969291235 48 0.0491176295660692 0.02455867895297477 7.255542109319949e-08 1.937892292518726 0 0.4844568590145786 3.141592653589814 3.141592653589815 0.02454369260617031 0 0 0 0 0 0 0 0 0 -3.758328851405062e-14 1.309618937621914e-15 0 0 0 0 0 0 
0.7858777264951927 51 0.04911767229060556 0.0245586881995823 7.263320603321786e-08 1.937892292518726 0 0.4844556485941508 3.141592653589814 3.141592653589815 0.02454369260617031 0 0 0 0 0 0 0 0 0 -3.761640943044981e-14 1.30514313810851e-15 0 0 0 0 0 0 
0.8349953987857983 54 0.04911771484422117 0.02455869760083388 7.270436485667251e-08 1.937892292518726 0 0.4844544381732644 3.141592653589814 3.141592653589815 0.02454369260617031 0 0 0 0 0 0 0 0 0 -3.758060303434258e-14 1.311409257427276e-15 0 0 0 0 0 0 
0.8841131136300195 57 0.04911775727846585 0.02455870712917067 7.278082908208468e-08 1.937892292518726 0 0.4844532277521466 3.141592653589814 3.141592653589815 0.02454369260617031 0 0 0 0 0 0 0 0 0 -3.757612723482918e-14 1.299772178692426e-15 0 0 0 0 0 0 
